,id,saleprice,bsmtfin_sf_1,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,wood_deck_sf,open_porch_sf,lot_area,mas_vnr_area,gr_liv_area,garage_area,screen_porch,full_bath,totrms_abvgrd,lot_frontage,half_bath,bedroom_abvgr,overall_qual,exter_qual,bsmt_qual,kitchen_qual,bsmt_exposure,bsmtfin_type_1,ms_zoning,neighborhood,condition_1,foundation,year_remod/add,year_built,garage_yr_blt,sale_type,fireplaces
20,2062,129000,492.0,402.0,894.0,894,0,0,0,8724,0.0,894,450.0,0,1,5,109.0,0,3,5,0,4,0,1,3,RL,Sawyer,Norm,CBlock,1968,1968,1968.0,WD ,1
21,351,278000,1158.0,343.0,1501.0,1659,0,212,59,5664,0.0,1659,499.0,0,2,5,40.0,0,2,8,4,4,5,1,5,RL,StoneBr,Norm,PConc,2000,2000,2000.0,WD ,1
22,2393,344133,0.0,1209.0,1209.0,1209,1044,243,142,12867,0.0,2253,575.0,0,2,8,103.0,1,3,8,4,5,5,3,0,RL,NridgHt,Norm,PConc,2006,2005,2005.0,New,1
23,12,185000,935.0,233.0,1168.0,1187,0,483,21,7980,0.0,1187,420.0,0,2,6,0.0,0,3,6,0,4,0,1,4,RL,Gilbert,Norm,PConc,2007,1992,1992.0,WD ,0
24,2339,145000,1056.0,0.0,1056.0,1056,0,264,0,34650,0.0,1056,572.0,0,1,5,100.0,0,3,5,0,0,0,2,2,RL,Gilbert,Norm,CBlock,1955,1955,1955.0,WD ,0
25,624,187500,1312.0,141.0,1453.0,1453,0,0,49,10573,3.0,1453,530.0,288,2,6,92.0,0,3,6,0,0,0,1,2,RL,NAmes,Norm,CBlock,1961,1961,1961.0,WD ,1
26,86,138500,553.0,224.0,894.0,894,0,416,144,8450,0.0,894,336.0,0,1,5,65.0,0,3,5,0,0,0,1,5,RL,Sawyer,RRAe,CBlock,2009,1965,1973.0,WD ,1
27,1534,198000,606.0,336.0,942.0,1265,673,0,40,11700,0.0,1938,240.0,0,2,7,0.0,0,4,5,0,0,4,1,3,RL,Crawfor,Norm,CBlock,1995,1937,1937.0,WD ,1
28,2243,119600,0.0,957.0,957.0,1034,957,0,0,8250,0.0,1991,0.0,0,2,9,75.0,0,4,5,0,0,0,1,0,C (all),IDOTRR,Feedr,CBlock,2006,1895,1978.7077955601446,WD ,0
29,1957,122900,0.0,672.0,672.0,672,252,0,0,8064,0.0,924,576.0,0,1,6,60.0,0,3,5,0,0,0,2,0,RL,NAmes,Artery,CBlock,2006,1949,2003.0,WD ,1
30,380,278000,1104.0,1420.0,2524.0,2524,0,474,120,9600,0.0,2524,542.0,0,2,9,80.0,1,4,8,4,4,4,1,4,RL,NWAmes,PosN,PConc,1981,1981,1981.0,WD ,1
31,2860,230000,0.0,792.0,792.0,792,725,0,0,11435,0.0,1517,400.0,0,1,7,0.0,0,3,8,0,4,4,1,0,RL,Crawfor,Norm,PConc,1950,1929,1931.0,WD ,2
32,2517,270000,437.0,0.0,1494.0,1494,0,0,30,9549,0.0,1494,481.0,216,1,6,30.0,1,2,8,4,4,5,3,1,RL,Veenker,Norm,PConc,1996,1995,1995.0,WD ,1
33,1933,125000,441.0,507.0,948.0,948,0,0,48,10950,0.0,948,410.0,0,1,5,60.0,0,2,6,0,0,0,1,4,RL,NAmes,Norm,CBlock,1952,1952,1952.0,WD ,0
34,820,297000,1288.0,417.0,1705.0,1718,0,208,44,10637,336.0,1718,826.0,0,2,7,79.0,0,3,8,4,5,4,4,5,RL,CollgCr,Norm,PConc,2008,2007,2007.0,WD ,1
35,675,113500,0.0,160.0,160.0,1142,0,0,28,9000,82.0,1142,384.0,0,1,5,80.0,0,2,6,0,4,0,4,0,RL,NAmes,Norm,CBlock,1958,1958,1958.0,WD ,1
36,2910,127000,548.0,36.0,757.0,925,550,104,26,2665,0.0,1475,336.0,0,2,6,41.0,0,4,5,0,0,0,1,4,RM,MeadowV,Norm,PConc,1977,1977,1977.0,WD ,1
37,21,190000,705.0,1139.0,1844.0,1844,0,0,122,11751,480.0,1844,546.0,0,2,7,105.0,0,3,6,0,4,0,1,3,RL,NWAmes,Norm,CBlock,1977,1977,1977.0,COD,1
38,1873,175500,916.0,326.0,1242.0,1242,0,0,0,9600,320.0,1242,528.0,0,1,6,80.0,1,3,7,0,0,0,1,4,RL,NWAmes,Norm,CBlock,1973,1973,1973.0,WD ,1
39,2125,146000,420.0,570.0,990.0,990,0,256,0,8428,0.0,990,384.0,0,1,5,60.0,0,3,5,0,4,0,1,5,RL,CollgCr,Norm,PConc,1994,1994,1995.0,WD ,0
40,1489,147500,830.0,136.0,1256.0,1256,0,736,68,9937,0.0,1256,276.0,0,1,6,75.0,1,3,5,4,0,0,1,3,RL,Edwards,Norm,CBlock,1965,1965,1965.0,WD ,0
41,2383,465000,1386.0,690.0,2076.0,2076,0,216,229,13891,0.0,2076,850.0,0,2,7,107.0,1,2,10,5,5,5,4,5,RL,NridgHt,Norm,PConc,2006,2006,2006.0,New,1
42,983,165500,1097.0,0.0,1097.0,1110,0,303,30,9101,104.0,1110,602.0,0,1,4,0.0,0,1,5,0,4,4,3,5,RL,Mitchel,Norm,PConc,1978,1978,1978.0,WD ,1
43,1325,131500,0.0,1050.0,1050.0,1050,745,0,0,12150,335.0,1795,352.0,0,2,7,81.0,0,4,5,0,0,0,1,0,RM,OldTown,Norm,BrkTil,1954,1954,1954.0,WD ,0
44,1378,129500,906.0,134.0,1040.0,1040,0,0,0,11200,0.0,1040,384.0,0,1,5,70.0,0,3,5,0,0,0,1,2,RL,Sawyer,Norm,CBlock,1965,1965,1965.0,WD ,0
45,1537,257076,210.0,398.0,608.0,983,890,0,0,9670,40.0,1873,786.0,0,1,9,100.0,1,4,8,0,0,0,1,1,RL,Crawfor,Norm,PConc,1950,1935,1935.0,WD ,2
46,905,117000,408.0,156.0,984.0,984,620,0,68,10998,0.0,1604,660.0,0,2,6,60.0,0,3,5,0,0,0,1,1,RL,Edwards,Norm,CBlock,1960,1941,1977.0,WD ,0
47,1532,149000,0.0,776.0,776.0,851,651,0,0,7200,0.0,1502,270.0,0,1,6,60.0,1,3,7,0,4,0,1,0,RL,Crawfor,Norm,BrkTil,2000,1931,1931.0,WD ,1
48,132,128000,354.0,412.0,1056.0,1063,0,0,0,9920,110.0,1063,280.0,0,1,6,80.0,0,3,5,0,0,0,1,2,RL,NAmes,Norm,CBlock,1954,1954,1954.0,WD ,0
49,1078,155000,0.0,764.0,764.0,764,862,0,27,2448,106.0,1626,474.0,0,2,6,36.0,1,2,7,4,4,4,1,0,RL,NridgHt,Norm,PConc,2004,2003,2003.0,WD ,0
50,2511,166000,353.0,403.0,756.0,768,756,0,32,2998,513.0,1524,440.0,0,2,4,0.0,1,2,6,4,4,4,1,5,FV,Somerst,Norm,PConc,2000,2000,2000.0,WD ,0
51,912,135000,622.0,500.0,1122.0,1328,653,431,44,7804,0.0,1981,576.0,0,2,7,65.0,0,4,4,0,0,4,1,3,RL,SWISU,Norm,BrkTil,1950,1928,1981.0,WD ,2
52,2351,250000,790.0,133.0,1392.0,1392,1392,0,112,16692,184.0,2784,564.0,440,3,12,80.0,1,5,7,0,4,4,1,3,RL,NWAmes,RRAn,CBlock,1978,1978,1978.0,WD ,2
53,330,76000,176.0,370.0,546.0,546,546,200,26,1476,0.0,1092,0.0,0,1,5,21.0,1,3,4,0,0,0,1,5,RM,MeadowV,Norm,CBlock,1970,1970,1978.7077955601446,WD ,0
54,2586,155000,0.0,216.0,216.0,1575,0,0,0,10170,522.0,1575,400.0,0,1,5,75.0,1,2,6,0,0,4,1,0,RL,NAmes,Norm,CBlock,1951,1951,1951.0,WD ,1
55,224,158000,371.0,292.0,663.0,663,689,379,36,9364,143.0,1352,299.0,0,1,7,80.0,1,4,6,0,0,0,1,4,RL,Sawyer,Norm,CBlock,1969,1969,1969.0,WD ,0
56,98,149500,368.0,190.0,600.0,600,600,0,172,2544,0.0,1200,480.0,0,2,4,24.0,1,2,7,4,4,4,1,5,FV,Somerst,Norm,PConc,2005,2004,2004.0,WD ,0
57,2565,121000,486.0,450.0,936.0,936,0,0,0,9888,0.0,936,240.0,0,1,5,82.0,0,2,5,0,0,0,1,3,RL,NAmes,Norm,CBlock,1975,1954,1954.0,WD ,0
58,1934,136000,85.0,0.0,1040.0,1040,0,0,0,7942,0.0,1040,293.0,0,1,6,68.0,0,3,6,0,0,0,1,2,RL,NAmes,Norm,CBlock,1953,1953,1953.0,WD ,0
59,997,173000,138.0,778.0,916.0,916,720,168,84,15038,0.0,1636,386.0,0,2,7,0.0,1,3,6,0,4,0,1,2,RL,Gilbert,Norm,PConc,1996,1996,1996.0,WD ,1
60,64,290000,524.0,628.0,1152.0,1164,1106,132,57,11764,348.0,2270,671.0,0,2,9,92.0,1,4,8,4,4,4,1,5,RL,NoRidge,Norm,PConc,2007,1999,1999.0,WD ,1
61,1799,303477,64.0,1120.0,1184.0,1184,1426,208,364,9000,0.0,2610,550.0,0,2,11,75.0,1,4,8,4,4,5,3,5,FV,Somerst,Norm,PConc,2007,2007,2007.0,New,1
62,230,270000,1092.0,328.0,1420.0,1483,0,496,0,20062,0.0,1483,690.0,0,1,4,0.0,1,1,7,4,4,0,4,4,RL,ClearCr,Norm,CBlock,2001,1977,1977.0,WD ,2
63,1295,122250,360.0,576.0,936.0,960,780,0,0,7308,0.0,1740,225.0,0,1,6,81.0,0,2,5,2,0,5,1,2,RM,OldTown,Artery,BrkTil,1950,1920,1920.0,WD ,1
64,638,153000,172.0,727.0,1382.0,1382,0,280,0,8750,0.0,1382,350.0,0,1,6,70.0,0,3,5,0,0,4,1,2,RL,NAmes,Norm,CBlock,1955,1955,1955.0,WD ,0
65,2278,147000,206.0,914.0,1120.0,1120,0,0,30,8402,0.0,1120,0.0,0,1,6,70.0,0,3,5,0,4,0,1,4,RL,Mitchel,Feedr,PConc,2007,2007,1978.7077955601446,New,0
66,2202,148500,246.0,285.0,531.0,567,531,0,0,4000,0.0,1098,216.0,0,1,5,63.0,0,2,7,0,4,0,1,5,RL,Crawfor,Norm,BrkTil,1995,1930,1930.0,WD ,1
67,2833,130000,0.0,976.0,976.0,976,732,0,40,3363,117.0,1708,380.0,0,2,7,32.0,0,3,7,4,4,4,1,0,RM,Edwards,Norm,PConc,2004,2004,2004.0,WD ,0
68,1707,372000,0.0,1802.0,1802.0,1802,0,158,105,13615,510.0,1802,843.0,0,2,7,94.0,1,3,9,5,5,5,4,0,RL,NridgHt,Norm,PConc,2006,2006,2006.0,WD ,1
69,2428,213490,16.0,1346.0,1362.0,1506,0,142,20,3013,145.0,1506,440.0,0,2,6,43.0,0,2,7,4,4,4,4,5,RL,Blmngtn,Norm,PConc,2005,2005,2005.0,WD ,1
70,242,308030,1346.0,162.0,1508.0,1508,0,0,0,17485,96.0,1508,572.0,0,1,5,44.0,0,1,7,4,4,4,4,5,RL,Edwards,Norm,PConc,2010,2009,2009.0,Con,2
71,1564,300000,700.0,1140.0,1840.0,2032,0,0,46,23730,668.0,2032,786.0,0,3,7,0.0,0,3,7,4,5,4,2,5,RL,Mitchel,Norm,PConc,1997,1996,1996.0,WD ,0
72,2613,159500,655.0,0.0,655.0,1194,0,0,0,8910,0.0,1194,539.0,0,1,6,79.0,0,3,6,0,0,0,2,4,RL,NAmes,Norm,CBlock,1959,1959,1954.0,WD ,1
73,2832,137500,0.0,970.0,970.0,970,739,0,40,2522,50.0,1709,380.0,0,2,7,24.0,0,3,7,4,4,4,1,0,RM,Edwards,Norm,PConc,2004,2004,2004.0,WD ,0
74,2459,232000,0.0,1616.0,1616.0,1616,0,208,59,8688,228.0,1616,834.0,0,2,7,73.0,0,3,7,4,4,4,3,0,RL,Somerst,Norm,PConc,2005,2005,2005.0,WD ,0
75,1360,93850,0.0,768.0,768.0,768,0,0,0,6291,0.0,768,440.0,0,1,4,0.0,0,1,6,4,0,0,1,0,RM,IDOTRR,RRNe,BrkTil,1950,1930,1930.0,WD ,0
76,2723,105000,0.0,872.0,872.0,872,0,0,0,17529,65.0,872,322.0,0,1,5,0.0,0,2,5,0,0,2,1,0,RL,Sawyer,Norm,BrkTil,1950,1924,1924.0,WD ,1
77,1350,68500,0.0,520.0,520.0,520,0,49,0,6324,0.0,520,240.0,0,1,4,60.0,0,1,4,0,0,2,1,0,RM,BrkSide,Feedr,BrkTil,1950,1927,1920.0,WD ,0
78,136,154300,443.0,662.0,1105.0,1105,1169,0,0,11600,361.0,2274,480.0,0,2,12,80.0,0,5,5,0,0,0,1,2,RL,NAmes,Feedr,CBlock,1960,1960,1960.0,WD ,0
79,2235,129850,0.0,936.0,936.0,936,665,0,0,7288,0.0,1601,0.0,0,2,6,50.0,0,3,5,4,0,0,1,0,RM,IDOTRR,Artery,BrkTil,2003,1925,1978.7077955601446,WD ,0
80,1993,114000,168.0,448.0,616.0,616,616,280,0,4571,0.0,1232,480.0,0,1,6,35.0,0,3,5,0,0,0,1,3,RM,OldTown,Norm,BrkTil,1950,1910,1920.0,WD ,0
81,367,501837,1904.0,312.0,2216.0,2234,0,0,60,17423,748.0,2234,1166.0,0,2,9,63.0,0,1,9,5,5,5,1,5,RL,StoneBr,Norm,PConc,2009,2008,2009.0,New,1
82,1309,153900,0.0,876.0,876.0,876,540,418,0,12665,0.0,1416,720.0,0,1,7,100.0,1,4,5,0,0,0,2,0,RM,OldTown,Artery,BrkTil,1950,1915,1949.0,WD ,1
83,402,130000,240.0,624.0,864.0,864,0,200,0,9000,0.0,864,576.0,0,1,5,60.0,0,3,4,0,0,0,1,4,RL,NAmes,Norm,CBlock,2006,1971,1986.0,WD ,0
84,1592,160500,864.0,325.0,1189.0,1189,0,0,122,4500,197.0,1189,392.0,0,2,4,32.0,0,2,6,0,5,0,1,5,RM,Mitchel,Norm,PConc,1997,1997,1997.0,WD ,0
85,2409,310090,415.0,1251.0,1666.0,1666,0,228,75,6373,572.0,1666,575.0,0,2,6,48.0,0,2,9,5,5,4,1,5,RL,NridgHt,Norm,PConc,2006,2006,2006.0,New,1
86,539,184900,833.0,343.0,1176.0,1200,0,0,41,10083,0.0,1200,555.0,0,2,5,67.0,0,2,7,4,4,4,1,5,RL,SawyerW,Norm,PConc,2003,2003,2003.0,WD ,0
87,1940,132000,377.0,551.0,928.0,928,0,261,0,13300,0.0,928,252.0,0,1,4,70.0,0,2,5,0,4,0,1,2,RL,NAmes,Norm,CBlock,2000,1956,1956.0,WD ,0
88,588,163000,553.0,588.0,1288.0,1336,0,312,11,9600,128.0,1336,502.0,0,2,6,80.0,0,3,5,0,4,0,2,4,RL,NWAmes,Feedr,CBlock,1969,1969,1969.0,WD ,1
89,96,155000,280.0,320.0,600.0,600,600,0,172,3215,120.0,1200,480.0,0,2,4,30.0,1,2,7,4,4,4,3,5,FV,Somerst,Norm,PConc,2004,2004,2004.0,ConLD,0
90,1187,183000,828.0,599.0,1427.0,1427,0,0,0,11104,0.0,1427,516.0,216,2,7,0.0,0,4,6,0,0,0,3,5,RL,NWAmes,Norm,CBlock,1969,1969,1969.0,WD ,0
91,2154,211000,762.0,98.0,860.0,1212,780,225,32,15295,254.0,1992,608.0,0,2,7,0.0,1,3,7,4,4,4,2,5,RL,CollgCr,Norm,PConc,2002,1996,1996.0,WD ,2
92,550,184000,36.0,122.0,754.0,754,786,140,32,9109,0.0,1540,495.0,0,2,6,70.0,1,3,7,4,4,4,1,1,RL,SawyerW,RRAe,PConc,1994,1994,1994.0,WD ,0
93,811,118858,0.0,0.0,0.0,1535,0,0,0,7018,0.0,1535,400.0,0,2,8,64.0,0,4,5,0,0,0,0,0,RL,SawyerW,Norm,Slab,1979,1979,1979.0,WD ,0
94,124,180500,1014.0,138.0,1152.0,1152,0,227,0,14112,86.0,1152,484.0,0,1,6,0.0,0,3,5,0,0,0,3,5,RL,NAmes,Norm,PConc,1964,1964,1964.0,WD ,1
95,1836,166000,60.0,1081.0,1141.0,1151,0,0,60,3523,30.0,1151,484.0,0,2,5,80.0,0,2,8,4,4,4,1,5,FV,Somerst,Norm,PConc,2007,2006,2006.0,New,0
96,779,148000,588.0,550.0,1138.0,1138,0,0,0,15312,54.0,1138,480.0,140,1,6,88.0,0,3,6,0,0,0,3,3,RL,Sawyer,Norm,CBlock,1960,1960,1960.0,COD,1
97,1886,124000,438.0,250.0,894.0,1074,0,0,72,7450,0.0,1074,396.0,0,1,6,74.0,0,2,5,0,0,4,1,2,RL,NAmes,Norm,CBlock,1956,1956,1966.0,WD ,1
98,1724,277500,1153.0,408.0,1561.0,1561,0,203,47,7313,246.0,1561,556.0,0,2,6,60.0,0,2,9,5,5,5,1,5,RL,NridgHt,Norm,PConc,2005,2005,2005.0,WD ,1
99,2450,350000,527.0,815.0,1342.0,1358,1368,307,169,10019,397.0,2726,725.0,0,2,9,83.0,1,4,8,4,4,4,1,4,RL,NoRidge,Norm,PConc,1995,1995,1995.0,WD ,1
100,1013,387000,1337.0,547.0,1884.0,1884,0,214,76,15401,296.0,1884,670.0,0,2,7,53.0,0,2,9,5,5,5,4,5,RL,StoneBr,Norm,PConc,2004,2004,2004.0,WD ,1
101,2084,86000,348.0,180.0,528.0,605,0,0,0,9098,0.0,605,0.0,0,1,5,58.0,0,2,4,0,0,0,2,4,RL,Edwards,Norm,BrkTil,2002,1920,1978.7077955601446,WD ,0
102,1184,290000,1044.0,0.0,1426.0,1671,0,280,90,16280,0.0,1671,550.0,0,3,6,103.0,0,3,8,5,4,5,2,5,RL,Veenker,Norm,CBlock,2007,1976,1976.0,WD ,1
103,728,44000,0.0,245.0,245.0,797,0,0,36,9392,0.0,797,0.0,0,1,5,72.0,0,2,3,0,2,0,1,0,C (all),IDOTRR,Norm,CBlock,1950,1900,1978.7077955601446,WD ,0
104,950,215000,690.0,114.0,804.0,804,1157,125,192,12209,0.0,1961,560.0,0,2,7,71.0,1,3,6,0,5,4,1,4,RL,Mitchel,Norm,PConc,2002,2001,2001.0,WD ,1
105,2524,146500,962.0,191.0,1153.0,1193,0,140,153,13110,144.0,1193,501.0,0,2,6,79.0,0,2,5,0,4,0,1,5,RL,NWAmes,RRAn,CBlock,1972,1972,1972.0,WD ,0
106,2513,165000,641.0,32.0,673.0,673,709,153,50,2651,0.0,1382,490.0,0,2,6,0.0,1,3,7,4,4,4,1,5,FV,Somerst,Norm,PConc,2000,2000,2000.0,WD ,0
107,2028,136000,168.0,0.0,714.0,1664,862,88,15,8520,0.0,2526,216.0,0,2,10,60.0,0,5,6,0,0,4,1,2,RM,OldTown,Artery,BrkTil,1950,1916,1916.0,CWD,1
108,2309,252000,1110.0,595.0,1705.0,1390,0,0,189,39384,902.0,1390,550.0,0,1,4,0.0,1,1,6,0,4,5,4,4,RL,NAmes,Norm,CBlock,1957,1957,1957.0,WD ,2
109,51,175500,0.0,764.0,764.0,764,862,0,27,2628,106.0,1626,474.0,0,2,6,36.0,1,2,7,4,4,4,1,0,RL,NridgHt,Norm,PConc,2003,2003,2003.0,WD ,0
110,699,150000,421.0,269.0,690.0,868,690,0,36,6406,0.0,1558,400.0,182,1,7,57.0,1,3,5,0,0,0,1,4,RM,OldTown,Norm,BrkTil,1950,1939,1939.0,WD ,1
111,1881,139900,0.0,978.0,978.0,1422,0,0,0,12342,0.0,1422,286.0,0,1,6,0.0,0,3,5,0,0,0,1,0,RL,NAmes,Norm,CBlock,1978,1960,1960.0,WD ,1
112,1345,162900,0.0,1078.0,1078.0,1128,445,0,0,6240,0.0,1573,360.0,0,2,8,52.0,0,3,5,0,0,0,1,0,RM,BrkSide,Norm,PConc,1992,1930,1930.0,WD ,1
113,166,160000,0.0,1116.0,1116.0,1116,0,0,0,10000,261.0,1116,440.0,385,1,5,87.0,1,3,6,0,0,0,1,0,RL,NAmes,Norm,CBlock,1962,1962,1962.0,WD ,0
114,781,63900,0.0,0.0,0.0,660,0,0,0,9000,0.0,660,0.0,0,1,5,0.0,0,2,2,0,0,2,0,0,RL,Sawyer,Norm,Slab,1950,1947,1978.7077955601446,WD ,0
115,379,184000,832.0,308.0,1140.0,1707,0,0,0,11088,144.0,1707,479.0,0,2,7,80.0,0,3,6,0,0,0,1,4,RL,NWAmes,Norm,PConc,1998,1978,1978.0,WD ,1
116,2818,149900,176.0,1290.0,1466.0,1466,0,0,140,17755,132.0,1466,528.0,100,1,6,134.0,1,3,5,0,0,2,1,3,RL,Edwards,Norm,CBlock,1959,1959,1959.0,WD ,2
117,1168,300000,1027.0,587.0,1614.0,1638,0,230,68,4765,260.0,1638,495.0,0,2,5,0.0,0,2,9,4,4,5,3,5,FV,Somerst,Norm,PConc,2000,2000,2000.0,WD ,1
118,1396,145000,988.0,0.0,988.0,1721,0,50,84,10532,275.0,1721,626.0,0,2,7,0.0,0,3,5,0,0,0,2,2,RL,ClearCr,Norm,CBlock,1960,1960,1960.0,WD ,2
119,838,231500,821.0,107.0,928.0,928,836,276,99,15426,0.0,1764,470.0,0,2,7,65.0,1,3,6,0,4,4,1,5,RL,CollgCr,Norm,PConc,1997,1997,1997.0,WD ,0
120,1492,108000,290.0,706.0,996.0,996,0,144,0,13907,0.0,996,0.0,0,1,6,63.0,0,3,5,0,0,0,1,3,RL,Edwards,Norm,CBlock,1969,1940,1978.7077955601446,WD ,1
121,637,120000,435.0,565.0,1202.0,1202,0,0,35,8750,0.0,1202,304.0,0,1,6,70.0,0,3,5,0,0,0,1,2,RL,NAmes,Norm,CBlock,1956,1956,1956.0,COD,0
122,1826,128500,827.0,161.0,988.0,988,0,0,0,9945,57.0,988,572.0,0,1,5,0.0,0,3,5,0,0,0,1,2,RL,Sawyer,Norm,CBlock,1961,1961,1963.0,WD ,0
123,173,115000,0.0,1008.0,1008.0,1028,0,0,0,8960,0.0,1028,360.0,0,1,5,56.0,0,2,5,0,0,0,1,0,RM,OldTown,Artery,CBlock,1950,1927,1927.0,WD ,1
124,715,110000,312.0,408.0,720.0,720,564,0,35,3500,0.0,1284,240.0,0,1,5,50.0,1,2,5,0,0,0,1,1,RM,OldTown,Norm,CBlock,1950,1947,1948.0,WD ,0
125,1183,150000,410.0,584.0,994.0,1599,1345,140,70,24572,1050.0,2944,864.0,0,2,9,0.0,2,3,9,4,4,4,1,5,RL,Veenker,Norm,CBlock,1977,1977,1977.0,WD ,1
126,2433,178000,0.0,707.0,707.0,707,707,100,35,9056,0.0,1414,403.0,0,2,6,74.0,1,3,8,4,5,4,3,0,RL,Gilbert,Norm,PConc,2004,2004,2004.0,WD ,1
127,2866,199500,0.0,637.0,637.0,959,650,0,0,12320,0.0,1609,579.0,104,1,8,70.0,1,3,7,0,0,4,1,0,RL,Crawfor,Norm,BrkTil,1990,1932,1963.0,WD ,2
128,2311,183500,700.0,113.0,813.0,813,712,421,72,8238,0.0,1525,400.0,0,2,6,60.0,1,3,6,0,0,0,1,5,RL,Gilbert,Norm,PConc,1998,1997,1997.0,WD ,1
129,1551,126000,257.0,367.0,624.0,1092,564,0,180,6000,0.0,1656,288.0,100,1,7,75.0,1,3,5,2,4,0,2,2,RM,IDOTRR,Norm,CBlock,1967,1967,1967.0,WD ,1
